run_ID,Time,CH4_aq,H2_aq,HCO3,HS,SO4,pH,Temp,CH4_g,CO2_g,H2_g,H2S_g,Biomass_MET,Biomass_SRB
1,0,7.94E-07,37.24061,1.96934,2.80E-08,7.21702,6.10085,28.2,1.00E-06,2.42E-02,9.10E+01,2.60E-10,1.00E-06,1.00E-06
1,0.5,7.94E-07,37.24061,1.96934,2.85E-08,7.21702,6.10085,28.2,1.00E-06,2.42E-02,9.10E+01,2.66E-10,1.00E-06,1.00E-06
1,1,7.94E-07,37.24061,1.96934,2.91E-08,7.21702,6.10085,28.2,1.00E-06,2.42E-02,9.10E+01,2.71E-10,1.00E-06,1.01E-06
1,1.5,7.95E-07,37.24061,1.96934,2.97E-08,7.21702,6.10085,28.2,1.00E-06,2.42E-02,9.10E+01,2.77E-10,1.00E-06,1.01E-06
1,2,7.95E-07,37.24061,1.96934,3.03E-08,7.21702,6.10085,28.2,1.00E-06,2.42E-02,9.10E+01,2.82E-10,1.00E-06,1.01E-06
1,2.5,7.96E-07,37.24061,1.96934,3.09E-08,7.21702,6.10085,28.2,1.00E-06,2.42E-02,9.10E+01,2.88E-10,1.00E-06,1.02E-06
1,3,7.96E-07,37.24061,1.96934,3.15E-08,7.21702,6.10085,28.2,1.00E-06,2.42E-02,9.10E+01,2.94E-10,1.00E-06,1.02E-06
1,3.5,7.96E-07,37.24061,1.96934,3.21E-08,7.21702,6.10085,28.2,1.00E-06,2.42E-02,9.10E+01,2.99E-10,1.00E-06,1.02E-06
1,4,7.97E-07,37.24061,1.96934,3.27E-08,7.21702,6.10085,28.2,1.00E-06,2.42E-02,9.10E+01,3.05E-10,1.00E-06,1.03E-06
1,4.5,7.97E-07,37.24061,1.96934,3.33E-08,7.21702,6.10085,28.2,1.00E-06,2.42E-02,9.10E+01,3.10E-10,1.01E-06,1.03E-06
1,5,7.98E-07,37.24061,1.96934,3.39E-08,7.21702,6.10085,28.2,1.01E-06,2.42E-02,9.10E+01,3.16E-10,1.01E-06,1.03E-06
1,5.5,7.98E-07,37.24061,1.96934,3.45E-08,7.21702,6.10085,28.2,1.01E-06,2.42E-02,9.10E+01,3.22E-10,1.01E-06,1.04E-06
1,6,7.98E-07,37.24061,1.96934,3.51E-08,7.21702,6.10085,28.2,1.01E-06,2.42E-02,9.10E+01,3.27E-10,1.01E-06,1.04E-06
1,6.5,7.99E-07,37.24061,1.96934,3.57E-08,7.21702,6.10085,28.2,1.01E-06,2.42E-02,9.10E+01,3.33E-10,1.01E-06,1.04E-06
1,7,7.99E-07,37.24061,1.96934,3.63E-08,7.21702,6.10085,28.2,1.01E-06,2.42E-02,9.10E+01,3.39E-10,1.01E-06,1.05E-06
1,7.5,8.00E-07,37.24061,1.96934,3.70E-08,7.21702,6.10085,28.2,1.01E-06,2.42E-02,9.10E+01,3.44E-10,1.01E-06,1.05E-06
1,8,8.00E-07,37.24061,1.96934,3.76E-08,7.21702,6.10085,28.2,1.01E-06,2.42E-02,9.10E+01,3.50E-10,1.01E-06,1.05E-06
1,8.5,8.00E-07,37.24061,1.96934,3.82E-08,7.21702,6.10085,28.2,1.01E-06,2.42E-02,9.10E+01,3.56E-10,1.01E-06,1.06E-06
1,9,8.01E-07,37.24061,1.96934,3.88E-08,7.21702,6.10085,28.2,1.01E-06,2.42E-02,9.10E+01,3.62E-10,1.01E-06,1.06E-06
1,9.5,8.01E-07,37.24061,1.96934,3.94E-08,7.21702,6.10085,28.2,1.01E-06,2.42E-02,9.10E+01,3.67E-10,1.01E-06,1.07E-06
1,10,8.02E-07,37.24061,1.96934,4.01E-08,7.21702,6.10085,28.2,1.01E-06,2.42E-02,9.10E+01,3.73E-10,1.01E-06,1.07E-06
1,10.5,8.02E-07,37.24061,1.96934,4.07E-08,7.21702,6.10085,28.2,1.01E-06,2.42E-02,9.10E+01,3.79E-10,1.01E-06,1.07E-06
1,11,8.02E-07,37.24061,1.96934,4.13E-08,7.21702,6.10085,28.2,1.01E-06,2.42E-02,9.10E+01,3.85E-10,1.01E-06,1.08E-06
1,11.5,8.03E-07,37.24061,1.96934,4.19E-08,7.21702,6.10085,28.2,1.01E-06,2.42E-02,9.10E+01,3.91E-10,1.01E-06,1.08E-06
1,12,8.03E-07,37.24061,1.96934,4.26E-08,7.21702,6.10085,28.2,1.01E-06,2.42E-02,9.10E+01,3.97E-10,1.01E-06,1.08E-06
1,12.5,8.04E-07,37.24061,1.96934,4.32E-08,7.21702,6.10085,28.2,1.01E-06,2.42E-02,9.10E+01,4.03E-10,1.01E-06,1.09E-06
1,13,8.04E-07,37.24061,1.96934,4.38E-08,7.21702,6.10085,28.2,1.01E-06,2.42E-02,9.10E+01,4.09E-10,1.01E-06,1.09E-06
1,13.5,8.04E-07,37.24061,1.96934,4.45E-08,7.21702,6.10085,28.2,1.01E-06,2.42E-02,9.10E+01,4.15E-10,1.02E-06,1.09E-06
1,14,8.05E-07,37.24061,1.96934,4.51E-08,7.21702,6.10085,28.2,1.01E-06,2.42E-02,9.10E+01,4.20E-10,1.02E-06,1.10E-06
1,14.5,8.05E-07,37.24061,1.96934,4.58E-08,7.21702,6.10085,28.2,1.01E-06,2.42E-02,9.10E+01,4.26E-10,1.02E-06,1.10E-06
1,15,8.06E-07,37.24061,1.96934,4.64E-08,7.21702,6.10085,28.2,1.02E-06,2.42E-02,9.10E+01,4.33E-10,1.02E-06,1.11E-06
1,15.5,8.06E-07,37.24061,1.96934,4.71E-08,7.21702,6.10085,28.2,1.02E-06,2.42E-02,9.10E+01,4.39E-10,1.02E-06,1.11E-06
1,16,8.06E-07,37.24061,1.96934,4.77E-08,7.21702,6.10085,28.2,1.02E-06,2.42E-02,9.10E+01,4.45E-10,1.02E-06,1.11E-06
1,16.5,8.07E-07,37.24061,1.96934,4.84E-08,7.21702,6.10085,28.2,1.02E-06,2.42E-02,9.10E+01,4.51E-10,1.02E-06,1.12E-06
1,17,8.07E-07,37.24061,1.96934,4.90E-08,7.21702,6.10085,28.2,1.02E-06,2.42E-02,9.10E+01,4.57E-10,1.02E-06,1.12E-06
1,17.5,8.08E-07,37.24061,1.96934,4.97E-08,7.21702,6.10085,28.2,1.02E-06,2.42E-02,9.10E+01,4.63E-10,1.02E-06,1.12E-06
1,18,8.08E-07,37.24061,1.96934,5.03E-08,7.21702,6.10085,28.2,1.02E-06,2.42E-02,9.10E+01,4.69E-10,1.02E-06,1.13E-06
1,18.5,8.09E-07,37.24061,1.96934,5.10E-08,7.21702,6.10085,28.2,1.02E-06,2.42E-02,9.10E+01,4.75E-10,1.02E-06,1.13E-06
1,19,8.09E-07,37.24061,1.96934,5.17E-08,7.21702,6.10085,28.2,1.02E-06,2.42E-02,9.10E+01,4.81E-10,1.02E-06,1.14E-06
1,19.5,8.09E-07,37.24061,1.96934,5.23E-08,7.21702,6.10085,28.2,1.02E-06,2.42E-02,9.10E+01,4.88E-10,1.02E-06,1.14E-06
1,20,8.10E-07,37.24061,1.96934,5.30E-08,7.21702,6.10085,28.2,1.02E-06,2.42E-02,9.10E+01,4.94E-10,1.02E-06,1.14E-06
1,20.5,8.10E-07,37.24061,1.96934,5.37E-08,7.21702,6.10085,28.2,1.02E-06,2.42E-02,9.10E+01,5.00E-10,1.02E-06,1.15E-06
1,21,8.11E-07,37.24061,1.96934,5.43E-08,7.21702,6.10085,28.2,1.02E-06,2.42E-02,9.10E+01,5.06E-10,1.02E-06,1.15E-06
1,21.5,8.11E-07,37.24061,1.96934,5.50E-08,7.21702,6.10085,28.2,1.02E-06,2.42E-02,9.10E+01,5.13E-10,1.02E-06,1.15E-06
